Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Brazil,2023,50-54 years,Both,Neoplasms,"Deaths per 100,000",139.1458410432134,133.03517941233204,144.28384796243333
All Population,Brazil,2023,55-59 years,Both,Neoplasms,"Deaths per 100,000",219.0493685085369,210.1235412349173,227.22913340047566
All Population,Brazil,2023,60-64 years,Both,Neoplasms,"Deaths per 100,000",327.09621361299816,313.41615622712357,339.430736906153
All Population,Brazil,2023,65-69 years,Both,Neoplasms,"Deaths per 100,000",474.2453341588673,449.2677480087979,493.23440477212984
All Population,Brazil,2023,70-74 years,Both,Neoplasms,"Deaths per 100,000",635.5027378034202,597.1748256157954,665.6853217060673
All Population,Brazil,2023,75-79 years,Both,Neoplasms,"Deaths per 100,000",842.3945562454614,770.9636701721512,885.2792700820916
All Population,Brazil,2023,80-84 years,Both,Neoplasms,"Deaths per 100,000",1095.6013551336937,947.8193721799436,1176.9000040272656
All Population,Brazil,2023,85-89 years,Both,Neoplasms,"Deaths per 100,000",1406.2780033901538,1143.926595090265,1547.0019966912325
All Population,Brazil,2023,90-94 years,Both,Neoplasms,"Deaths per 100,000",1700.193936270443,1335.414317319513,1910.6899067926488
All Population,Brazil,2023,95+ years,Both,Neoplasms,"Deaths per 100,000",1578.0376438885194,1084.5541579445173,1888.9362939473158
All Population,Brazil,2023,0-6 days,Both,Cardiovascular diseases,"Deaths per 100,000",10.939011378587564,9.71966309688753,12.251496962054526
